NAME                                                                  VERSION                                   TYPE      
PyGObject                                                             3.40.1                                    python     
PySocks                                                               1.7.1                                     python     
chardet                                                               4.0.0                                     python     
dbus-python                                                           1.2.18                                    python     
decorator                                                             4.4.2                                     python     
github.com/beorn7/perks                                               v1.0.1                                    go-module  
github.com/cespare/xxhash/v2                                          v2.3.0                                    go-module  
github.com/davecgh/go-spew                                            v1.1.2-0.20180830191138-d8f796af33cc      go-module  
github.com/emicklei/go-restful/v3                                     v3.11.2                                   go-module  
github.com/evanphx/json-patch/v5                                      v5.9.11                                   go-module  
github.com/fsnotify/fsnotify                                          v1.7.0                                    go-module  
github.com/fxamacker/cbor/v2                                          v2.7.0                                    go-module  
github.com/go-logr/logr                                               v1.4.2                                    go-module  
github.com/go-logr/zapr                                               v1.3.0                                    go-module  
github.com/go-openapi/jsonpointer                                     v0.21.0                                   go-module  
github.com/go-openapi/jsonreference                                   v0.20.4                                   go-module  
github.com/go-openapi/swag                                            v0.23.0                                   go-module  
github.com/gogo/protobuf                                              v1.3.2                                    go-module  
github.com/golang/protobuf                                            v1.5.4                                    go-module  
github.com/google/btree                                               v1.1.3                                    go-module  
github.com/google/gnostic-models                                      v0.6.8                                    go-module  
github.com/google/go-cmp                                              v0.6.0                                    go-module  
github.com/google/gofuzz                                              v1.2.0                                    go-module  
github.com/google/uuid                                                v1.6.0                                    go-module  
github.com/josharian/intern                                           v1.0.0                                    go-module  
github.com/json-iterator/go                                           v1.1.12                                   go-module  
github.com/k8snetworkplumbingwg/network-attachment-definition-client  v1.1.1-0.20201119153432-9d213757d22d      go-module  
github.com/mailru/easyjson                                            v0.7.7                                    go-module  
github.com/modern-go/concurrent                                       v0.0.0-20180306012644-bacd9c7ef1dd        go-module  
github.com/modern-go/reflect2                                         v1.0.2                                    go-module  
github.com/munnerz/goautoneg                                          v0.0.0-20191010083416-a7dc8b61c822        go-module  
github.com/noironetworks/aci-containers                               f6d8fd512d6c207765baac73d96d32188df22c08  go-module  
github.com/pkg/errors                                                 v0.9.1                                    go-module  
github.com/prometheus/client_golang                                   v1.19.1                                   go-module  
github.com/prometheus/client_model                                    v0.6.1                                    go-module  
github.com/prometheus/common                                          v0.55.0                                   go-module  
github.com/prometheus/procfs                                          v0.15.1                                   go-module  
github.com/shastrinator/kube-admission-webhook                        v0.0.0-20240712005226-d905af558e63        go-module  
github.com/spf13/pflag                                                v1.0.5                                    go-module  
github.com/x448/float16                                               v0.8.4                                    go-module  
go.uber.org/multierr                                                  v1.11.0                                   go-module  
go.uber.org/zap                                                       v1.27.0                                   go-module  
golang.org/x/net                                                      v0.40.0                                   go-module  
golang.org/x/oauth2                                                   v0.23.0                                   go-module  
golang.org/x/sync                                                     v0.14.0                                   go-module  
golang.org/x/sys                                                      v0.33.0                                   go-module  
golang.org/x/term                                                     v0.32.0                                   go-module  
golang.org/x/text                                                     v0.25.0                                   go-module  
golang.org/x/time                                                     v0.7.0                                    go-module  
gomodules.xyz/jsonpatch/v2                                            v2.4.0                                    go-module  
google.golang.org/protobuf                                            v1.35.1                                   go-module  
gopkg.in/evanphx/json-patch.v4                                        v4.12.0                                   go-module  
gopkg.in/inf.v0                                                       v0.9.1                                    go-module  
gopkg.in/yaml.v3                                                      v3.0.1                                    go-module  
gpg                                                                   1.15.1                                    python     
idna                                                                  2.10                                      python     
iniparse                                                              0.4                                       python     
k8s.io/api                                                            v0.32.5                                   go-module  
k8s.io/apiextensions-apiserver                                        v0.32.5                                   go-module  
k8s.io/apimachinery                                                   v0.32.5                                   go-module  
k8s.io/client-go                                                      v0.32.5                                   go-module  
k8s.io/klog/v2                                                        v2.130.1                                  go-module  
k8s.io/kube-openapi                                                   v0.0.0-20241105132330-32ad38e42d3f        go-module  
k8s.io/utils                                                          v0.0.0-20241104100929-3ea5e8cea738        go-module  
libcomps                                                              0.1.18                                    python     
pyinotify                                                             0.9.6                                     python     
python-dateutil                                                       2.8.1                                     python     
requests                                                              2.25.1                                    python     
rpm                                                                   4.16.1.3                                  python     
setuptools                                                            53.0.0                                    python     
sigs.k8s.io/controller-runtime                                        v0.20.4                                   go-module  
sigs.k8s.io/json                                                      v0.0.0-20241010143419-9aa6b5e7a4b3        go-module  
sigs.k8s.io/structured-merge-diff/v4                                  v4.6.0                                    go-module  
sigs.k8s.io/yaml                                                      v1.4.0                                    go-module  
six                                                                   1.15.0                                    python     
subscription-manager                                                  1.29.45                                   python     
systemd-python                                                        234                                       python     
urllib3                                                               1.26.5                                    python     
